start_time,price,settlement_period,delivery_date,volume
2023-09-21 23:00:00+01:00,98.0,47,2023-09-22,685.3
2023-09-21 23:30:00+01:00,103.1,48,2023-09-22,545.3
2023-09-22 00:00:00+01:00,90.0,1,2023-09-22,450.5
2023-09-22 00:30:00+01:00,82.0,2,2023-09-22,457.45
2023-09-22 01:00:00+01:00,84.4,3,2023-09-22,322.3
2023-09-22 01:30:00+01:00,84.4,4,2023-09-22,334.15
2023-09-22 02:00:00+01:00,84.6,5,2023-09-22,317.75
2023-09-22 02:30:00+01:00,77.0,6,2023-09-22,273.85
2023-09-22 03:00:00+01:00,76.0,7,2023-09-22,362.1
2023-09-22 03:30:00+01:00,75.2,8,2023-09-22,371.45
2023-09-22 04:00:00+01:00,75.8,9,2023-09-22,398.0
2023-09-22 04:30:00+01:00,76.2,10,2023-09-22,438.8
2023-09-22 05:00:00+01:00,83.0,11,2023-09-22,479.85
2023-09-22 05:30:00+01:00,83.8,12,2023-09-22,606.05
2023-09-22 06:00:00+01:00,98.2,13,2023-09-22,592.7
2023-09-22 06:30:00+01:00,123.0,14,2023-09-22,823.9
2023-09-22 07:00:00+01:00,105.6,15,2023-09-22,972.5
2023-09-22 07:30:00+01:00,120.0,16,2023-09-22,923.4
2023-09-22 08:00:00+01:00,115.8,17,2023-09-22,788.35
2023-09-22 08:30:00+01:00,116.7,18,2023-09-22,670.05
2023-09-22 09:00:00+01:00,102.0,19,2023-09-22,677.25
2023-09-22 09:30:00+01:00,91.3,20,2023-09-22,666.15
2023-09-22 10:00:00+01:00,84.7,21,2023-09-22,703.05
2023-09-22 10:30:00+01:00,83.0,22,2023-09-22,692.75
2023-09-22 11:00:00+01:00,82.6,23,2023-09-22,785.5
2023-09-22 11:30:00+01:00,81.15,24,2023-09-22,709.35
2023-09-22 12:00:00+01:00,84.1,25,2023-09-22,684.05
2023-09-22 12:30:00+01:00,76.2,26,2023-09-22,696.65
2023-09-22 13:00:00+01:00,80.0,27,2023-09-22,633.4
2023-09-22 13:30:00+01:00,72.5,28,2023-09-22,610.75
2023-09-22 14:00:00+01:00,70.2,29,2023-09-22,735.0
2023-09-22 14:30:00+01:00,66.4,30,2023-09-22,742.15
2023-09-22 15:00:00+01:00,70.0,31,2023-09-22,660.3
2023-09-22 15:30:00+01:00,74.0,32,2023-09-22,741.8
2023-09-22 16:00:00+01:00,75.0,33,2023-09-22,885.8
2023-09-22 16:30:00+01:00,90.0,34,2023-09-22,1067.1
2023-09-22 17:00:00+01:00,86.0,35,2023-09-22,636.3
2023-09-22 17:30:00+01:00,90.9,36,2023-09-22,755.6
2023-09-22 18:00:00+01:00,102.0,37,2023-09-22,728.45
2023-09-22 18:30:00+01:00,107.9,38,2023-09-22,806.8
2023-09-22 19:00:00+01:00,110.4,39,2023-09-22,802.0
2023-09-22 19:30:00+01:00,118.4,40,2023-09-22,846.5
2023-09-22 20:00:00+01:00,105.0,41,2023-09-22,874.1
2023-09-22 20:30:00+01:00,88.0,42,2023-09-22,752.8
2023-09-22 21:00:00+01:00,103.4,43,2023-09-22,841.5
2023-09-22 21:30:00+01:00,84.2,44,2023-09-22,634.65
2023-09-22 22:00:00+01:00,94.6,45,2023-09-22,1049.95
2023-09-22 22:30:00+01:00,80.0,46,2023-09-22,835.85
2023-09-22 23:00:00+01:00,109.6,47,2023-09-23,711.15
2023-09-22 23:30:00+01:00,104.8,48,2023-09-23,498.0
2023-09-23 00:00:00+01:00,100.0,1,2023-09-23,456.15
2023-09-23 00:30:00+01:00,93.0,2,2023-09-23,480.1
2023-09-23 01:00:00+01:00,88.0,3,2023-09-23,434.3
2023-09-23 01:30:00+01:00,92.0,4,2023-09-23,426.3
2023-09-23 02:00:00+01:00,84.4,5,2023-09-23,483.4
2023-09-23 02:30:00+01:00,80.1,6,2023-09-23,429.75
2023-09-23 03:00:00+01:00,83.0,7,2023-09-23,486.05
2023-09-23 03:30:00+01:00,78.5,8,2023-09-23,464.0
2023-09-23 04:00:00+01:00,85.2,9,2023-09-23,481.3
2023-09-23 04:30:00+01:00,86.0,10,2023-09-23,459.45
2023-09-23 05:00:00+01:00,84.0,11,2023-09-23,461.8
2023-09-23 05:30:00+01:00,94.0,12,2023-09-23,422.75
2023-09-23 06:00:00+01:00,95.0,13,2023-09-23,399.9
2023-09-23 06:30:00+01:00,106.0,14,2023-09-23,482.0
2023-09-23 07:00:00+01:00,87.4,15,2023-09-23,482.6
2023-09-23 07:30:00+01:00,116.8,16,2023-09-23,502.7
2023-09-23 08:00:00+01:00,93.6,17,2023-09-23,524.45
2023-09-23 08:30:00+01:00,110.3,18,2023-09-23,472.9
2023-09-23 09:00:00+01:00,100.8,19,2023-09-23,437.05
2023-09-23 09:30:00+01:00,100.8,20,2023-09-23,449.65
2023-09-23 10:00:00+01:00,93.0,21,2023-09-23,375.15
2023-09-23 10:30:00+01:00,89.4,22,2023-09-23,382.8
2023-09-23 11:00:00+01:00,88.2,23,2023-09-23,374.45
2023-09-23 11:30:00+01:00,92.0,24,2023-09-23,356.35
2023-09-23 12:00:00+01:00,92.9,25,2023-09-23,346.05
2023-09-23 12:30:00+01:00,87.1,26,2023-09-23,330.3
2023-09-23 13:00:00+01:00,77.6,27,2023-09-23,412.2
2023-09-23 13:30:00+01:00,77.6,28,2023-09-23,429.0
2023-09-23 14:00:00+01:00,77.9,29,2023-09-23,404.55
2023-09-23 14:30:00+01:00,77.6,30,2023-09-23,437.65
2023-09-23 15:00:00+01:00,77.6,31,2023-09-23,472.4
2023-09-23 15:30:00+01:00,79.5,32,2023-09-23,514.25
2023-09-23 16:00:00+01:00,81.3,33,2023-09-23,585.05
2023-09-23 16:30:00+01:00,86.0,34,2023-09-23,627.5
2023-09-23 17:00:00+01:00,116.7,35,2023-09-23,529.2
2023-09-23 17:30:00+01:00,120.0,36,2023-09-23,614.85
2023-09-23 18:00:00+01:00,130.0,37,2023-09-23,580.45
2023-09-23 18:30:00+01:00,124.8,38,2023-09-23,577.4
2023-09-23 19:00:00+01:00,129.0,39,2023-09-23,580.9
2023-09-23 19:30:00+01:00,110.0,40,2023-09-23,547.1
2023-09-23 20:00:00+01:00,103.0,41,2023-09-23,492.75
2023-09-23 20:30:00+01:00,88.0,42,2023-09-23,329.15
2023-09-23 21:00:00+01:00,99.5,43,2023-09-23,399.05
2023-09-23 21:30:00+01:00,87.0,44,2023-09-23,391.3
2023-09-23 22:00:00+01:00,86.0,45,2023-09-23,673.25
2023-09-23 22:30:00+01:00,85.0,46,2023-09-23,530.35
2023-09-23 23:00:00+01:00,88.55,47,2023-09-24,587.2
2023-09-23 23:30:00+01:00,89.6,48,2023-09-24,337.9
2023-09-24 00:00:00+01:00,82.9,1,2023-09-24,344.0
2023-09-24 00:30:00+01:00,74.2,2,2023-09-24,272.8
2023-09-24 01:00:00+01:00,65.1,3,2023-09-24,287.25
2023-09-24 01:30:00+01:00,60.1,4,2023-09-24,262.65
2023-09-24 02:00:00+01:00,49.9,5,2023-09-24,323.3
2023-09-24 02:30:00+01:00,33.0,6,2023-09-24,350.0
2023-09-24 03:00:00+01:00,40.0,7,2023-09-24,343.5
2023-09-24 03:30:00+01:00,38.5,8,2023-09-24,367.4
2023-09-24 04:00:00+01:00,35.2,9,2023-09-24,284.65
2023-09-24 04:30:00+01:00,33.4,10,2023-09-24,272.0
2023-09-24 05:00:00+01:00,32.1,11,2023-09-24,239.0
2023-09-24 05:30:00+01:00,41.6,12,2023-09-24,271.4
2023-09-24 06:00:00+01:00,37.4,13,2023-09-24,296.5
2023-09-24 06:30:00+01:00,52.8,14,2023-09-24,380.2
2023-09-24 07:00:00+01:00,45.6,15,2023-09-24,450.65
