tradeExecTime,volumeMW,price,name,dlvryStart,dlvryEnd
2023-12-21 09:08:48+00:00,1.0,48.91,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:03:08+00:00,5.0,42.6,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:03:08+00:00,0.2,42.6,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:49:31+00:00,4.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:49:36+00:00,1.5,34.99,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:49:36+00:00,1.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:49:44+00:00,4.9,35.45,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:49:44+00:00,0.5,34.98,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:51:17+00:00,5.0,29.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:52:57+00:00,1.0,30.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:53:01+00:00,4.0,30.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:53:12+00:00,2.8,31.5,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:56:30+00:00,5.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:58:18+00:00,5.0,29.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:59:29+00:00,5.0,30.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 10:59:29+00:00,5.0,30.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 11:03:53+00:00,5.0,31.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 11:05:58+00:00,4.9,36.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:11:23+00:00,5.0,56.0,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:28:36+00:00,3.0,51.65,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:29:18+00:00,5.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:18+00:00,5.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:22+00:00,2.1,35.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:22+00:00,4.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:22+00:00,2.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:40+00:00,5.0,36.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:40+00:00,2.0,36.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:40+00:00,3.0,36.1,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:43+00:00,2.0,36.1,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:57+00:00,0.4,36.1,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:57+00:00,5.0,36.2,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:29:58+00:00,1.0,51.45,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:31:11+00:00,1.1,51.45,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:31:11+00:00,1.0,51.55,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:31:11+00:00,0.9,51.45,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:31:11+00:00,4.0,51.45,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:31:11+00:00,3.5,36.69,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:31:11+00:00,5.0,36.78,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:31:11+00:00,1.0,36.78,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:31:11+00:00,0.1,36.78,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:31:11+00:00,0.4,36.68,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
