datetime,windspeed,"HORNSEA_1B t-0 /n 53.5694, 0.0948","HORNSEA_1A t-0 /n 53.5694, 0.0948","HORNSEA_WF_2C t-0 /n 53.5731, 0.028","HORNSEA_WF_2B t-0 /n 53.5731, 0.028","HORNSEA_WF_2A t-0 /n 53.5731, 0.028","WALNEY_4 t-0 /n 54.0761, 3.2389","WALNEY_3 t-0 /n 54.0761, 3.2389","WALNEY_2 t-0 /n 54.0761, 3.2389","WALNEY_1 t-0 /n 54.0761, 3.2389","London Array BMU4 t-0 /n 51.44, 0.6064","London Array BMU3 t-0 /n 51.44, 0.6064","London Array BMU2 t-0 /n 51.44, 0.6064","London Array BMU1 t-0 /n 51.44, 0.6064","GyM OSPW 28 t-0 /n 53.3454, 3.6631","GyM OSPW 26 t-0 /n 53.3454, 3.6631","GyM OSPE 17 t-0 /n 53.3454, 3.6631","GyM OSPE 15 t-0 /n 53.3454, 3.6631","Moray East OWF3 t-0 /n 57.6517, 2.053","Moray East OWF2 t-0 /n 57.6517, 2.053","Moray East OWF1 t-0 /n 57.6517, 2.053","Rampion Offshore Wind BMU 2 t-0 /n 50.8025, 0.0563","Rampion Offshore Wind BMU 1 t-0 /n 50.8025, 0.0563","West of Duddon Sands Offshore2 t-0 /n 54.1942, 3.2664","West of Duddon Sands Offshore1 t-0 /n 54.1942, 3.2664","Thanet Offshore Wind Limited 2 t-0 /n 51.3682, 1.4333","Thanet Offshore Wind Limited 1 t-0 /n 51.3682, 1.4333","BURBO_EXTENSION t-0 /n 53.391, 3.0472","East Anglia One Offshore 2 t-0 /n 52.548, 1.592","East Anglia One Offshore 1 t-0 /n 52.548, 1.592","HORNSEA_1C t-1 /n 53.5694, 0.0948","HORNSEA_1B t-1 /n 53.5694, 0.0948","HORNSEA_1A t-1 /n 53.5694, 0.0948","HORNSEA_WF_2C t-1 /n 53.5731, 0.028","HORNSEA_WF_2B t-1 /n 53.5731, 0.028","HORNSEA_WF_2A t-1 /n 53.5731, 0.028","WALNEY_4 t-1 /n 54.0761, 3.2389","WALNEY_3 t-1 /n 54.0761, 3.2389","WALNEY_2 t-1 /n 54.0761, 3.2389","WALNEY_1 t-1 /n 54.0761, 3.2389","London Array BMU4 t-1 /n 51.44, 0.6064","London Array BMU3 t-1 /n 51.44, 0.6064","London Array BMU2 t-1 /n 51.44, 0.6064","London Array BMU1 t-1 /n 51.44, 0.6064","GyM OSPW 28 t-1 /n 53.3454, 3.6631","GyM OSPW 26 t-1 /n 53.3454, 3.6631","GyM OSPE 17 t-1 /n 53.3454, 3.6631","GyM OSPE 15 t-1 /n 53.3454, 3.6631","Moray East OWF3 t-1 /n 57.6517, 2.053","Moray East OWF2 t-1 /n 57.6517, 2.053","Moray East OWF1 t-1 /n 57.6517, 2.053","Rampion Offshore Wind BMU 2 t-1 /n 50.8025, 0.0563","Rampion Offshore Wind BMU 1 t-1 /n 50.8025, 0.0563","West of Duddon Sands Offshore2 t-1 /n 54.1942, 3.2664","West of Duddon Sands Offshore1 t-1 /n 54.1942, 3.2664","Thanet Offshore Wind Limited 2 t-1 /n 51.3682, 1.4333","Thanet Offshore Wind Limited 1 t-1 /n 51.3682, 1.4333","BURBO_EXTENSION t-1 /n 53.391, 3.0472","East Anglia One Offshore 2 t-1 /n 52.548, 1.592","East Anglia One Offshore 1 t-1 /n 52.548, 1.592"
2023-09-22T00:00:00,8.1,8.1,8.1,8.0,8.0,8.0,13.5,13.5,13.5,13.5,6.2,6.2,6.2,6.2,12.9,12.9,12.9,12.9,21.8,21.8,21.8,3.1,3.1,15.3,15.3,12.8,12.8,10.2,6.8,6.8,7.6,7.6,7.6,5.8,5.8,5.8,18.4,18.4,18.4,18.4,4.3,4.3,4.3,4.3,15.8,15.8,15.8,15.8,32.8,32.8,32.8,8.6,8.6,19.4,19.4,15.1,15.1,16.2,5.8,5.8
2023-09-22T01:00:00,6.1,6.1,6.1,6.2,6.2,6.2,13.5,13.5,13.5,13.5,10.7,10.7,10.7,10.7,14.7,14.7,14.7,14.7,21.6,21.6,21.6,3.8,3.8,14.3,14.3,11.2,11.2,9.9,5.4,5.4,9.4,9.4,9.4,6.5,6.5,6.5,15.5,15.5,15.5,15.5,2.9,2.9,2.9,2.9,16.6,16.6,16.6,16.6,32.4,32.4,32.4,7.9,7.9,16.2,16.2,19.1,19.1,16.6,4.0,4.0
2023-09-22T02:00:00,5.3,5.3,5.3,5.4,5.4,5.4,10.1,10.1,10.1,10.1,9.1,9.1,9.1,9.1,20.3,20.3,20.3,20.3,21.5,21.5,21.5,1.0,1.0,11.7,11.7,12.7,12.7,15.9,5.6,5.6,11.2,11.2,11.2,6.8,6.8,6.8,14.8,14.8,14.8,14.8,1.1,1.1,1.1,1.1,19.8,19.8,19.8,19.8,31.0,31.0,31.0,14.0,14.0,14.4,14.4,20.5,20.5,16.2,3.2,3.2
2023-09-22T03:00:00,5.8,5.8,5.8,5.7,5.7,5.7,7.6,7.6,7.6,7.6,8.9,8.9,8.9,8.9,14.6,14.6,14.6,14.6,20.8,20.8,20.8,3.1,3.1,7.6,7.6,9.6,9.6,10.5,7.3,7.3,14.8,14.8,14.8,8.6,8.6,8.6,11.9,11.9,11.9,11.9,7.2,7.2,7.2,7.2,16.6,16.6,16.6,16.6,29.9,29.9,29.9,13.3,13.3,12.2,12.2,15.5,15.5,14.4,2.5,2.5
2023-09-22T04:00:00,8.4,8.4,8.4,8.3,8.3,8.3,13.7,13.7,13.7,13.7,8.5,8.5,8.5,8.5,33.2,33.2,33.2,33.2,21.6,21.6,21.6,2.6,2.6,13.0,13.0,11.6,11.6,18.3,8.4,8.4,16.6,16.6,16.6,9.4,9.4,9.4,10.1,10.1,10.1,10.1,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,31.0,31.0,31.0,13.7,13.7,9.0,9.0,11.9,11.9,13.7,1.8,1.8
2023-09-22T05:00:00,7.5,7.5,7.5,7.4,7.4,7.4,12.9,12.9,12.9,12.9,6.9,6.9,6.9,6.9,7.7,7.7,7.7,7.7,19.1,19.1,19.1,3.8,3.8,12.0,12.0,9.9,9.9,11.0,7.7,7.7,17.6,17.6,17.6,9.7,9.7,9.7,8.3,8.3,8.3,8.3,9.4,9.4,9.4,9.4,19.1,19.1,19.1,19.1,31.0,31.0,31.0,14.0,14.0,8.3,8.3,15.8,15.8,14.8,3.2,3.2
2023-09-22T06:00:00,10.1,10.1,10.1,10.2,10.2,10.2,13.7,13.7,13.7,13.7,8.7,8.7,8.7,8.7,3.8,3.8,3.8,3.8,21.0,21.0,21.0,6.3,6.3,12.8,12.8,12.8,12.8,6.8,9.7,9.7,18.0,18.0,18.0,10.4,10.4,10.4,9.7,9.7,9.7,9.7,10.1,10.1,10.1,10.1,13.7,13.7,13.7,13.7,30.6,30.6,30.6,16.2,16.2,9.4,9.4,15.5,15.5,9.7,5.8,5.8
2023-09-22T07:00:00,9.6,9.6,9.6,9.6,9.6,9.6,17.9,17.9,17.9,17.9,9.0,9.0,9.0,9.0,7.6,7.6,7.6,7.6,20.2,20.2,20.2,8.3,8.3,22.9,22.9,11.5,11.5,6.5,9.5,9.5,17.6,17.6,17.6,10.4,10.4,10.4,11.9,11.9,11.9,11.9,11.5,11.5,11.5,11.5,16.6,16.6,16.6,16.6,29.9,29.9,29.9,19.4,19.4,11.5,11.5,14.8,14.8,2.5,9.4,9.4
2023-09-22T08:00:00,11.3,11.3,11.3,11.3,11.3,11.3,17.2,17.2,17.2,17.2,10.2,10.2,10.2,10.2,5.6,5.6,5.6,5.6,18.3,18.3,18.3,8.0,8.0,17.0,17.0,11.7,11.7,14.4,10.0,10.0,17.6,17.6,17.6,11.9,11.9,11.9,7.9,7.9,7.9,7.9,13.7,13.7,13.7,13.7,17.3,17.3,17.3,17.3,30.2,30.2,30.2,20.5,20.5,9.4,9.4,16.6,16.6,4.3,9.7,9.7
2023-09-22T09:00:00,12.7,12.7,12.7,12.8,12.8,12.8,20.4,20.4,20.4,20.4,10.4,10.4,10.4,10.4,20.5,20.5,20.5,20.5,15.8,15.8,15.8,9.7,9.7,22.8,22.8,9.9,9.9,15.1,14.0,14.0,18.4,18.4,18.4,13.0,13.0,13.0,2.9,2.9,2.9,2.9,16.9,16.9,16.9,16.9,18.4,18.4,18.4,18.4,30.2,30.2,30.2,21.2,21.2,3.6,3.6,17.6,17.6,8.3,14.0,14.0
