gsp_group_id,bmu_id,bmu_name,bmu_type,ngc_bmu_id,fuel_type,lead_party_id,lead_party_name,trading_unit_name,transmission_loss_factor,valid_from,valid_to,gsp_name,dno
,T_WDRGW-1,Windy Rig Wind Farm,T,WDRGW-1,WIND,WINDYRIG,Windy Rig Wind Farm Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_WHIHW-1,Whiteside Hill WF,T,WHIHW-1,WIND,WHWF1985,Whiteside Hill,,-0.0146251,2024-09-02,9999-12-31,,
,T_WHILW-2,Whitelee Extension,T,WHILW-2,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_WDNSO-2,West of Duddon Sands Offshore2,T,WDNSO-2,WIND,MWLWODS1,Morecambe Wind Limited,,-0.0086334,2024-09-02,9999-12-31,,
,T_WDNSO-1,West of Duddon Sands Offshore1,T,WDNSO-1,WIND,MWLWODS1,Morecambe Wind Limited,,-0.0086334,2024-09-02,9999-12-31,,
,T_WTMSO-1,WESTERMOST_ROUGH,T,WTMSO-1,WIND,DONG008,Westermost Rough Limited,,-0.0079685,2024-09-02,9999-12-31,,
,T_WLNYO-4,WALNEY_4,T,WLNYO-4,WIND,DONG012,Walney Extension Ltd,,-0.0086334,2024-09-02,9999-12-31,,
,T_WLNYO-3,WALNEY_3,T,WLNYO-3,WIND,DONG012,Walney Extension Ltd,,-0.0086334,2024-09-02,9999-12-31,,
,T_WLNYO-2,WALNEY_2,T,WLNYO-2,WIND,DONG003,Walney Offshore Windfarms Ltd,,-0.0086334,2024-09-02,9999-12-31,,
,T_WLNYW-1,WALNEY_1,T,WLNYW-1,WIND,DONG003,Walney Offshore Windfarms Ltd,,-0.0086334,2024-09-02,9999-12-31,,
,T_VKNGW-4,Viking Energy Windfarm BMU-4,T,VKNGW-4,WIND,VIKING,Viking Energy Wind Farm LLP,,-0.0417624,2024-09-02,9999-12-31,,
,T_VKNGW-3,Viking Energy Windfarm BMU-3,T,VKNGW-3,WIND,VIKING,Viking Energy Wind Farm LLP,,-0.0417624,2024-09-02,9999-12-31,,
,T_VKNGW-2,Viking Energy Windfarm BMU-2,T,VKNGW-2,WIND,VIKING,Viking Energy Wind Farm LLP,,-0.0417624,2024-09-02,9999-12-31,,
,T_VKNGW-1,Viking Energy Windfarm BMU-1,T,VKNGW-1,WIND,VIKING,Viking Energy Wind Farm LLP,,-0.0417624,2024-09-02,9999-12-31,,
,T_WHILW-1,T_WHILW-1,T,WHILW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_TWSHW-1,Twenty Shilling Wind Farm,T,TWSHW-1,WIND,TWENTYSH,Twentyshilling Limited,,-0.0146251,2024-09-02,9999-12-31,,
_P,E_TLYMW-1,Tullymurdoch Wind Farm,E,TLYMW-1,WIND,RENC,ECOTRICITY LIMITED,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
_P,E_TULWW-1,Tullo Windfarm,E,TULWW-1,WIND,ENECOUK,Eneco Energy Trade,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
_P,E_TULWW-2,Tullo Extension,E,TULWW-2,WIND,ENECOUK,Eneco Energy Trade,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_TRLGW-1,T_TRLGW-1,T,TRLGW-1,WIND,SMARTEST,Smartestenergy Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_RRWW-1,T_RRWW-1,T,RRWW-1,WIND,ROBINRIG,RWE Renewables UK Robin Rigg,,-0.0086334,2024-09-02,9999-12-31,,
,T_RREW-1,T_RREW-1,T,RREW-1,WIND,ROBINRIG,RWE Renewables UK Robin Rigg,,-0.0086334,2024-09-02,9999-12-31,,
,T_TKNWW-1,Triton Knoll OSP west 1,T,TKNWW-1,WIND,TKWFL,Triton Knoll Offshore Wind,,0.0032790,2024-07-05,2024-09-01,,
,T_TKNEW-1,Triton Knoll OSP East 1,T,TKNEW-1,WIND,TKWFL,Triton Knoll Offshore Wind,,0.0032790,2024-07-05,2024-09-01,,
,T_TDBNW-1,Toddleburn,T,TDBNW-1,WIND,SSEGEN,SSE Generation Ltd,,-0.0146251,2024-09-02,9999-12-31,,
,T_THNTO-2,Thanet Offshore Wind Limited 2,T,THNTO-2,WIND,TOW,Thanet Offshore Wind Limited,,0.0084878,2024-04-01,2024-07-04,,
,T_THNTO-1,Thanet Offshore Wind Limited 1,T,THNTO-1,WIND,TOW,Thanet Offshore Wind Limited,,0.0084878,2024-04-01,2024-07-04,,
,T_DOUGW-1,T-DOUGW-1,T,DOUGW-1,WIND,EROVAIRL,Erova Energy Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_BLLA-1,T_BLLA-1,T,BLLA-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_STLGW-3,Stronelairg Windfarm 3,T,STLGW-3,WIND,STLG,Stronelairg Windfarm Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_STLGW-2,Stronelairg Windfarm 2,T,STLGW-2,WIND,STLG,Stronelairg Windfarm Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_STLGW-1,Stronelairg Windfarm 1,T,STLGW-1,WIND,STLG,Stronelairg Windfarm Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_STRNW-1,Strathy North Wind Farm 1,T,STRNW-1,WIND,STRTHWFL,Strathy Wind Farm Limited,,-0.0417624,2024-09-02,9999-12-31,,
_P,2__PSTAT002,STAT P3 North Scotland,S,MDHLW-1,WIND,STATKRA1,Statkraft Markets Gmbh,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
_P,2__PSTAT001,STAT P2 North Scotland,S,CAIRW-2,WIND,STATKRA1,Statkraft Markets Gmbh,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_SOKYW-1,South Kyle Wind Farm,T,SOKYW-1,WIND,GBSKYL,South Kyle Wind Farm Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_SHRSW-2,Sheringham Shoal Unit 2,T,SHRSO-2,WIND,SCIRA,Scira Offshore Energy Limited,,0.0020155,2024-07-05,2024-09-01,,
,T_SHRSW-1,Sheringham Shoal Unit 1,T,SHRSO-1,WIND,SCIRA,Scira Offshore Energy Limited,,0.0020155,2024-07-05,2024-09-01,,
,T_SGRWO-6,Seagreen1 Offshore WF 6,T,SGRWO-6,WIND,SWEL001,Seagreen Wind Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_SGRWO-5,Seagreen1 Offshore WF 5,T,SGRWO-5,WIND,SWEL001,Seagreen Wind Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_SGRWO-4,Seagreen1 Offshore WF 4,T,SGRWO-4,WIND,SWEL001,Seagreen Wind Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_SGRWO-3,Seagreen1 Offshore WF 3,T,SGRWO-3,WIND,SWEL001,Seagreen Wind Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_SGRWO-2,Seagreen1 Offshore WF 2,T,SGRWO-2,WIND,SWEL001,Seagreen Wind Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_SGRWO-1,Seagreen1 Offshore WF 1,T,SGRWO-1,WIND,SWEL001,Seagreen Wind Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_SANQW-1,SANQUHAR,T,SANQW-1,WIND,SCWCL,SANQUHAR CWCL,,-0.0146251,2024-09-02,9999-12-31,,
,T_SAKNW-1,Sandy Knowe Wind Farm,T,SAKNW-1,WIND,SANDYWF1,Sandy Knowe Wind Farm Ltd,,-0.0146251,2024-09-02,9999-12-31,,
_P,2__PENEC001,Rothes Windfarm,S,ROTHW-1,WIND,ENECOUK,Eneco Energy Trade,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_RMPNO-2,Rampion Offshore Wind BMU 2,T,RMPNO-2,WIND,RAMPION,Rampion Offshore Windfarm Ltd,,0.0084878,2024-04-01,2024-07-04,,
,T_RMPNO-1,Rampion Offshore Wind BMU 1,T,RMPNO-1,WIND,RAMPION,Rampion Offshore Windfarm Ltd,,0.0084878,2024-04-01,2024-07-04,,
,T_RCBKO-2,RACE_BANK_Z02,T,RCBKO-2,WIND,DONG011,Race Bank Wind Farm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_RCBKO-1,RACE_BANK_Z01,T,RCBKO-1,WIND,DONG011,Race Bank Wind Farm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_PGBIW-1,Pogbie WF,T,PGBIW-1,WIND,LENCO,EDF Energy Customers Ltd,,-0.0146251,2024-09-02,9999-12-31,,
,T_PNYCW-1,PNYCW-1 Export,T,PNYCW-1,WIND,PYC,Pen y Cymoedd Wind Farm LTD,PYC Trading Unit,0.0074977,2024-07-05,2024-09-01,,
_N,E_PIBUW-1,Pines Burn Wind Farm,E,PIBUW-1,WIND,NPOWER02,Npower Commercial Gas Limited,DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
_P,2__PENEC002,Pauls Hill Windfarm,S,PAUHW-1,WIND,ENECOUK,Eneco Energy Trade,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_OMNDW-1,Ormonde Energy Limited 1,T,OMNDO-1,WIND,ORMONDE,Ormonde Energy Ltd,,-0.0086334,2024-09-02,9999-12-31,,
,T_NNGAO-2,Neart Na Gaiothe WF 2,T,NNGAO-2,WIND,NNG01,Neart Na Gaoithe Offshore Wind,,-0.0146251,2024-09-02,9999-12-31,,
,T_NNGAO-1,Neart Na Gaiothe WF 1,T,NNGAO-1,WIND,NNG01,Neart Na Gaoithe Offshore Wind,,-0.0146251,2024-09-02,9999-12-31,,
_P,E_MOYEW-1,Moy Windfarm,E,MOYEW-1,WIND,ENECOUK,Eneco Energy Trade,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_MOWWO-4,Moray West OWF4,T,MOWWO-4,WIND,MOWWL,Moray Offshore Wind West Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_MOWWO-3,Moray West OWF3,T,MOWWO-3,WIND,MOWWL,Moray Offshore Wind West Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_MOWWO-2,Moray West OWF2,T,MOWWO-2,WIND,MOWWL,Moray Offshore Wind West Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_MOWWO-1,Moray West OWF1,T,MOWWO-1,WIND,MOWWL,Moray Offshore Wind West Ltd,,-0.0417624,2024-09-02,9999-12-31,,
