datetime,Wind factor,Wind factor H-1
09-22-2023 01:00:00,1.07,0.99
09-22-2023 02:00:00,1.43,1.07
09-22-2023 03:00:00,0.88,1.43
09-22-2023 04:00:00,1.3,0.88
09-22-2023 05:00:00,0.89,1.3
09-22-2023 06:00:00,0.89,0.89
09-22-2023 07:00:00,0.92,0.89
09-22-2023 08:00:00,0.99,0.92
09-22-2023 09:00:00,1.66,0.99
09-22-2023 10:00:00,1.83,1.66
09-22-2023 11:00:00,0.91,1.83
09-22-2023 12:00:00,0.78,0.91
09-22-2023 13:00:00,0.83,0.78
09-22-2023 14:00:00,0.86,0.83
09-22-2023 15:00:00,0.79,0.86
09-22-2023 16:00:00,0.79,0.79
09-22-2023 17:00:00,0.89,0.79
09-22-2023 18:00:00,0.85,0.89
09-22-2023 19:00:00,0.87,0.85
09-22-2023 20:00:00,0.83,0.87
09-22-2023 21:00:00,0.83,0.83
09-22-2023 22:00:00,0.82,0.83
09-22-2023 23:00:00,0.8,0.82
09-23-2023 00:00:00,0.83,0.8
09-23-2023 01:00:00,0.85,0.83
09-23-2023 02:00:00,0.84,0.85
09-23-2023 03:00:00,0.92,0.84
09-23-2023 04:00:00,0.95,0.92
09-23-2023 05:00:00,0.86,0.95
09-23-2023 06:00:00,0.89,0.86
09-23-2023 07:00:00,0.88,0.89
09-23-2023 08:00:00,0.77,0.88
09-23-2023 09:00:00,0.7,0.77
09-23-2023 10:00:00,0.73,0.7
09-23-2023 11:00:00,0.74,0.73
09-23-2023 12:00:00,0.83,0.74
09-23-2023 13:00:00,0.9,0.83
09-23-2023 14:00:00,0.85,0.9
09-23-2023 15:00:00,0.82,0.85
09-23-2023 16:00:00,0.81,0.82
09-23-2023 17:00:00,0.83,0.81
09-23-2023 18:00:00,0.88,0.83
09-23-2023 19:00:00,0.8,0.88
09-23-2023 20:00:00,0.85,0.8
09-23-2023 21:00:00,1.26,0.85
09-23-2023 22:00:00,1.21,1.26
09-23-2023 23:00:00,1.18,1.21
09-24-2023 00:00:00,1.33,1.18
09-24-2023 01:00:00,1.32,1.33
09-24-2023 02:00:00,1.38,1.32
09-24-2023 03:00:00,1.31,1.38
09-24-2023 04:00:00,1.3,1.31
09-24-2023 05:00:00,1.38,1.3
09-24-2023 06:00:00,1.38,1.38
09-24-2023 07:00:00,1.34,1.38
09-24-2023 08:00:00,1.37,1.34
09-24-2023 09:00:00,1.2,1.37
09-24-2023 10:00:00,1.21,1.2
09-24-2023 11:00:00,1.26,1.21
09-24-2023 12:00:00,1.26,1.26
09-24-2023 13:00:00,1.24,1.26
09-24-2023 14:00:00,1.23,1.24
09-24-2023 15:00:00,1.25,1.23
09-24-2023 16:00:00,1.16,1.25
09-24-2023 17:00:00,1.22,1.16
09-24-2023 18:00:00,1.26,1.22
09-24-2023 19:00:00,1.23,1.26
09-24-2023 20:00:00,1.18,1.23
09-24-2023 21:00:00,1.19,1.18
09-24-2023 22:00:00,1.21,1.19
09-24-2023 23:00:00,1.14,1.21
09-25-2023 00:00:00,1.12,1.14
09-25-2023 01:00:00,1.08,1.12
09-25-2023 02:00:00,1.04,1.08
09-25-2023 03:00:00,0.93,1.04
09-25-2023 04:00:00,0.76,0.93
09-25-2023 05:00:00,0.76,0.76
09-25-2023 06:00:00,0.67,0.76
09-25-2023 07:00:00,0.69,0.67
09-25-2023 08:00:00,0.73,0.69
09-25-2023 09:00:00,0.83,0.73
09-25-2023 10:00:00,0.98,0.83
09-25-2023 11:00:00,1.12,0.98
09-25-2023 12:00:00,1.14,1.12
09-25-2023 13:00:00,1.24,1.14
09-25-2023 14:00:00,1.37,1.24
09-25-2023 15:00:00,1.49,1.37
09-25-2023 16:00:00,1.51,1.49
09-25-2023 17:00:00,1.54,1.51
09-25-2023 18:00:00,1.44,1.54
09-25-2023 19:00:00,1.46,1.44
09-25-2023 20:00:00,1.32,1.46
09-25-2023 21:00:00,1.37,1.32
09-25-2023 22:00:00,1.01,1.37
09-25-2023 23:00:00,0.59,1.01
09-26-2023 00:00:00,0.61,0.59
09-26-2023 01:00:00,0.64,0.61
09-26-2023 02:00:00,0.62,0.64
09-26-2023 03:00:00,0.63,0.62
09-26-2023 04:00:00,0.62,0.63
09-26-2023 05:00:00,0.64,0.62
09-26-2023 06:00:00,0.67,0.64
09-26-2023 07:00:00,0.67,0.67
09-26-2023 08:00:00,0.64,0.67
09-26-2023 09:00:00,0.64,0.64
09-26-2023 10:00:00,0.72,0.64
09-26-2023 11:00:00,0.82,0.72
09-26-2023 12:00:00,0.9,0.82
09-26-2023 13:00:00,0.95,0.9
09-26-2023 14:00:00,1,0.95
09-26-2023 15:00:00,0.91,1
09-26-2023 16:00:00,0.96,0.91
09-26-2023 17:00:00,0.8,0.96
09-26-2023 18:00:00,0.7,0.8
09-26-2023 19:00:00,0.63,0.7
09-26-2023 20:00:00,0.52,0.63
09-26-2023 21:00:00,0.5,0.52
09-26-2023 22:00:00,0.49,0.5
09-26-2023 23:00:00,0.48,0.49
09-27-2023 00:00:00,0.45,0.48
09-27-2023 01:00:00,0.41,0.45
09-27-2023 02:00:00,0.4,0.41
09-27-2023 03:00:00,0.4,0.4
09-27-2023 04:00:00,0.33,0.4
09-27-2023 05:00:00,0.33,0.33
09-27-2023 06:00:00,0.41,0.33
09-27-2023 07:00:00,0.37,0.41
09-27-2023 08:00:00,0.47,0.37
09-27-2023 09:00:00,0.51,0.47
09-27-2023 10:00:00,0.61,0.51
09-27-2023 11:00:00,0.69,0.61
09-27-2023 12:00:00,0.72,0.69
09-27-2023 13:00:00,0.81,0.72
09-27-2023 14:00:00,0.79,0.81
09-27-2023 15:00:00,0.86,0.79
09-27-2023 16:00:00,0.86,0.86
09-27-2023 17:00:00,0.94,0.86
09-27-2023 18:00:00,1.11,0.94
09-27-2023 19:00:00,1.22,1.11
09-27-2023 20:00:00,1.2,1.22
09-27-2023 21:00:00,1.25,1.2
09-27-2023 22:00:00,1.32,1.25
09-27-2023 23:00:00,1.25,1.32
09-28-2023 00:00:00,1.32,1.25
09-28-2023 01:00:00,1.34,1.32
09-28-2023 02:00:00,1.34,1.34
09-28-2023 03:00:00,1.38,1.34
09-28-2023 04:00:00,1.41,1.38
09-28-2023 05:00:00,1.48,1.41
09-28-2023 06:00:00,1.39,1.48
09-28-2023 07:00:00,1.37,1.39
09-28-2023 08:00:00,1.36,1.37
09-28-2023 09:00:00,1.37,1.36
09-28-2023 10:00:00,1.46,1.37
09-28-2023 11:00:00,1.41,1.46
09-28-2023 12:00:00,1.3,1.41
09-28-2023 13:00:00,1.27,1.3
09-28-2023 14:00:00,1.34,1.27
09-28-2023 15:00:00,1.18,1.34
09-28-2023 16:00:00,1.41,1.18
09-28-2023 17:00:00,1.28,1.41
09-28-2023 18:00:00,1.05,1.28
09-28-2023 19:00:00,1.03,1.05
09-28-2023 20:00:00,0.87,1.03
09-28-2023 21:00:00,0.91,0.87
09-28-2023 22:00:00,0.83,0.91
09-28-2023 23:00:00,0.86,0.83
09-29-2023 00:00:00,0.67,0.86
09-29-2023 01:00:00,0.58,0.67
09-29-2023 02:00:00,0.63,0.58
09-29-2023 03:00:00,0.65,0.63
09-29-2023 04:00:00,0.6,0.65
09-29-2023 05:00:00,0.54,0.6
09-29-2023 06:00:00,0.6,0.54
09-29-2023 07:00:00,0.6,0.6
09-29-2023 08:00:00,0.69,0.6
09-29-2023 09:00:00,0.8,0.69
09-29-2023 10:00:00,0.95,0.8
09-29-2023 11:00:00,1.02,0.95
09-29-2023 12:00:00,1.07,1.02
09-29-2023 13:00:00,1.21,1.07
09-29-2023 14:00:00,1.2,1.21
09-29-2023 15:00:00,1.2,1.2
09-29-2023 16:00:00,1.21,1.2
09-29-2023 17:00:00,1.3,1.21
09-29-2023 18:00:00,1.24,1.3
09-29-2023 19:00:00,1.32,1.24
09-29-2023 20:00:00,1.22,1.32
09-29-2023 21:00:00,1.32,1.22
09-29-2023 22:00:00,1.34,1.32
09-29-2023 23:00:00,1.29,1.34
09-30-2023 00:00:00,1.28,1.29
09-30-2023 01:00:00,1.39,1.28
09-30-2023 02:00:00,1.27,1.39
09-30-2023 03:00:00,1.24,1.27
09-30-2023 04:00:00,1.23,1.24
09-30-2023 05:00:00,1.32,1.23
09-30-2023 06:00:00,1.11,1.32
09-30-2023 07:00:00,1.21,1.11
09-30-2023 08:00:00,1.15,1.21
09-30-2023 09:00:00,1.36,1.15
09-30-2023 10:00:00,1.13,1.36
09-30-2023 11:00:00,1.54,1.13
09-30-2023 12:00:00,1.97,1.54
09-30-2023 13:00:00,2.39,1.97
09-30-2023 14:00:00,2.21,2.39
09-30-2023 15:00:00,2.61,2.21
09-30-2023 16:00:00,2.41,2.61
09-30-2023 17:00:00,2.15,2.41
09-30-2023 18:00:00,2.23,2.15
09-30-2023 19:00:00,1.87,2.23
09-30-2023 20:00:00,2.34,1.87
09-30-2023 21:00:00,2.65,2.34
09-30-2023 22:00:00,4.03,2.65
09-30-2023 23:00:00,3.66,4.03
10-01-2023 00:00:00,3.87,3.66
10-01-2023 01:00:00,3.5,3.87
10-01-2023 02:00:00,2.9,3.5
10-01-2023 03:00:00,2.5,2.9
10-01-2023 04:00:00,2.31,2.5
10-01-2023 05:00:00,2.42,2.31
10-01-2023 06:00:00,2.3,2.42
10-01-2023 07:00:00,2.46,2.3
10-01-2023 08:00:00,2.5,2.46
10-01-2023 09:00:00,2.74,2.5
10-01-2023 10:00:00,3.03,2.74
10-01-2023 11:00:00,3.24,3.03
10-01-2023 12:00:00,3.41,3.24
10-01-2023 13:00:00,3.74,3.41
10-01-2023 14:00:00,3.39,3.74
10-01-2023 15:00:00,3.41,3.39
10-01-2023 16:00:00,3.35,3.41
10-01-2023 17:00:00,2.57,3.35
10-01-2023 18:00:00,2.18,2.57
10-01-2023 19:00:00,2.3,2.18
10-01-2023 20:00:00,2.6,2.3
10-01-2023 21:00:00,4.12,2.6
10-01-2023 22:00:00,3.42,4.12
10-01-2023 23:00:00,3.2,3.42
10-02-2023 00:00:00,1.04,3.2
10-02-2023 01:00:00,0.94,1.04
10-02-2023 02:00:00,1.11,0.94
10-02-2023 03:00:00,1.35,1.11
10-02-2023 04:00:00,1.26,1.35
10-02-2023 05:00:00,1.18,1.26
10-02-2023 06:00:00,1.19,1.18
10-02-2023 07:00:00,1.16,1.19
10-02-2023 08:00:00,1.06,1.16
10-02-2023 09:00:00,1.09,1.06
10-02-2023 10:00:00,1.24,1.09
10-02-2023 11:00:00,1.31,1.24
10-02-2023 12:00:00,1.37,1.31
10-02-2023 13:00:00,1.09,1.37
10-02-2023 14:00:00,1.21,1.09
10-02-2023 15:00:00,5.59,1.21
10-02-2023 16:00:00,1.04,5.59
10-02-2023 17:00:00,1.08,1.04
10-02-2023 18:00:00,1.03,1.08
10-02-2023 19:00:00,0.93,1.03
10-02-2023 20:00:00,1.6,0.93
10-02-2023 21:00:00,0.92,1.6
10-02-2023 22:00:00,0.88,0.92
10-02-2023 23:00:00,0.97,0.88
10-03-2023 00:00:00,1.05,0.97
10-03-2023 01:00:00,0.91,1.05
10-03-2023 02:00:00,0.98,0.91
10-03-2023 03:00:00,0.92,0.98
10-03-2023 04:00:00,0.82,0.92
10-03-2023 05:00:00,0.86,0.82
10-03-2023 06:00:00,0.82,0.86
10-03-2023 07:00:00,0.88,0.82
10-03-2023 08:00:00,0.89,0.88
10-03-2023 09:00:00,0.89,0.89
10-03-2023 10:00:00,0.95,0.89
10-03-2023 11:00:00,0.96,0.95
10-03-2023 12:00:00,0.94,0.96
10-03-2023 13:00:00,0.92,0.94
10-03-2023 14:00:00,0.88,0.92
10-03-2023 15:00:00,0.94,0.88
10-03-2023 16:00:00,0.95,0.94
10-03-2023 17:00:00,0.9,0.95
10-03-2023 18:00:00,0.97,0.9
10-03-2023 19:00:00,0.92,0.97
10-03-2023 20:00:00,0.95,0.92
10-03-2023 21:00:00,0.92,0.95
10-03-2023 22:00:00,0.88,0.92
10-03-2023 23:00:00,0.87,0.88
10-04-2023 00:00:00,0.9,0.87
10-04-2023 01:00:00,0.88,0.9
10-04-2023 02:00:00,0.91,0.88
10-04-2023 03:00:00,0.86,0.91
10-04-2023 04:00:00,0.87,0.86
10-04-2023 05:00:00,0.85,0.87
10-04-2023 06:00:00,0.87,0.85
10-04-2023 07:00:00,0.83,0.87
10-04-2023 08:00:00,0.8,0.83
10-04-2023 09:00:00,0.81,0.8
10-04-2023 10:00:00,0.84,0.81
10-04-2023 11:00:00,0.87,0.84
10-04-2023 12:00:00,0.9,0.87
10-04-2023 13:00:00,0.88,0.9
10-04-2023 14:00:00,0.89,0.88
10-04-2023 15:00:00,0.92,0.89
10-04-2023 16:00:00,0.96,0.92
10-04-2023 17:00:00,0.87,0.96
10-04-2023 18:00:00,0.84,0.87
10-04-2023 19:00:00,0.84,0.84
10-04-2023 20:00:00,0.89,0.84
10-04-2023 21:00:00,0.94,0.89
10-04-2023 22:00:00,0.97,0.94
10-04-2023 23:00:00,0.9,0.97
10-05-2023 00:00:00,0.91,0.9
10-05-2023 01:00:00,0.92,0.91
10-05-2023 02:00:00,0.91,0.92
10-05-2023 03:00:00,0.84,0.91
10-05-2023 04:00:00,0.81,0.84
10-05-2023 05:00:00,0.75,0.81
10-05-2023 06:00:00,0.67,0.75
10-05-2023 07:00:00,0.69,0.67
10-05-2023 08:00:00,0.73,0.69
10-05-2023 09:00:00,0.79,0.73
10-05-2023 10:00:00,0.87,0.79
10-05-2023 11:00:00,0.96,0.87
10-05-2023 12:00:00,1.03,0.96
10-05-2023 13:00:00,1.05,1.03
10-05-2023 14:00:00,1.17,1.05
10-05-2023 15:00:00,1.26,1.17
10-05-2023 16:00:00,1.47,1.26
10-05-2023 17:00:00,1.72,1.47
10-05-2023 18:00:00,2.05,1.72
10-05-2023 19:00:00,2.78,2.05
10-05-2023 20:00:00,2.84,2.78
10-05-2023 21:00:00,2.9,2.84
10-05-2023 22:00:00,3.62,2.9
10-05-2023 23:00:00,5.69,3.62
10-06-2023 00:00:00,3.73,5.69
10-06-2023 01:00:00,3.32,3.73
10-06-2023 02:00:00,3.24,3.32
10-06-2023 03:00:00,3.02,3.24
10-06-2023 04:00:00,3.05,3.02
10-06-2023 05:00:00,3.04,3.05
10-06-2023 06:00:00,2.91,3.04
10-06-2023 07:00:00,2.56,2.91
10-06-2023 08:00:00,2.31,2.56
10-06-2023 09:00:00,2.39,2.31
10-06-2023 10:00:00,2.24,2.39
10-06-2023 11:00:00,2.17,2.24
10-06-2023 12:00:00,2.33,2.17
10-06-2023 13:00:00,2.12,2.33
10-06-2023 14:00:00,2.06,2.12
10-06-2023 15:00:00,2,2.06
10-06-2023 16:00:00,1.86,2
10-06-2023 17:00:00,1.76,1.86
10-06-2023 18:00:00,1.71,1.76
10-06-2023 19:00:00,1.71,1.71
10-06-2023 20:00:00,1.66,1.71
10-06-2023 21:00:00,1.74,1.66
10-06-2023 22:00:00,1.59,1.74
10-06-2023 23:00:00,1.55,1.59
10-07-2023 00:00:00,1.54,1.55
10-07-2023 01:00:00,1.43,1.54
10-07-2023 02:00:00,1.35,1.43
10-07-2023 03:00:00,1.33,1.35
10-07-2023 04:00:00,1.43,1.33
10-07-2023 05:00:00,1.4,1.43
10-07-2023 06:00:00,1.45,1.4
10-07-2023 07:00:00,1.31,1.45
10-07-2023 08:00:00,1.25,1.31
10-07-2023 09:00:00,1.35,1.25
10-07-2023 10:00:00,1.35,1.35
10-07-2023 11:00:00,1.4,1.35
10-07-2023 12:00:00,1.33,1.4
10-07-2023 13:00:00,1.37,1.33
10-07-2023 14:00:00,1.3,1.37
10-07-2023 15:00:00,1.29,1.3
10-07-2023 16:00:00,1.23,1.29
10-07-2023 17:00:00,1.33,1.23
10-07-2023 18:00:00,1.35,1.33
10-07-2023 19:00:00,1.18,1.35
10-07-2023 20:00:00,1.13,1.18
10-07-2023 21:00:00,0.97,1.13
10-07-2023 22:00:00,0.94,0.97
10-07-2023 23:00:00,0.91,0.94
10-08-2023 00:00:00,0.86,0.91
10-08-2023 01:00:00,0.82,0.86
10-08-2023 02:00:00,0.7,0.82
10-08-2023 03:00:00,0.73,0.7
10-08-2023 04:00:00,0.66,0.73
10-08-2023 05:00:00,0.61,0.66
10-08-2023 06:00:00,0.56,0.61
10-08-2023 07:00:00,0.7,0.56
10-08-2023 08:00:00,0.65,0.7
10-08-2023 09:00:00,0.6,0.65
10-08-2023 10:00:00,0.59,0.6
10-08-2023 11:00:00,0.63,0.59
10-08-2023 12:00:00,0.64,0.63
10-08-2023 13:00:00,0.64,0.64
10-08-2023 14:00:00,0.65,0.64
10-08-2023 15:00:00,0.67,0.65
10-08-2023 16:00:00,0.83,0.67
10-08-2023 17:00:00,0.84,0.83
10-08-2023 18:00:00,0.82,0.84
10-08-2023 19:00:00,0.94,0.82
10-08-2023 20:00:00,1.03,0.94
